parcelid,logerror,transactiondate,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,bedroomflag,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
11016594,0.0276,"Friday, January 01, 2016",1,,,2.0000,3.0000,false,,4.0000,2.0000,,,1684.0000,1684.0000,,,,,06037,,2.0000,,,,2,34280992.0000,-118488536.0000,7528.0000,,,,,,0100,261,LARS,060371066.461001,12447,3101,31817,96370,0.0000,,,,1.0000,,,1959.0000,,,122754.0000,360170.0000,2015.0000,237416.0000,6735.8799,,,60371066461001
14366692,-0.1684,"Friday, January 01, 2016",,,,3.5000,4.0000,true,,,3.5000,,,2263.0000,2263.0000,,,,,06059,,3.0000,2.0000,468.0000,,,33668120.0000,-117677552.0000,3643.0000,,,,,,1,261,,060590524.222024,32380,1286,,96962,0.0000,,1.0000,,,,,2014.0000,,,346458.0000,585529.0000,2015.0000,239071.0000,10153.0195,,,
12098116,-0.0040,"Friday, January 01, 2016",1,,,3.0000,2.0000,false,,4.0000,3.0000,,,2217.0000,2217.0000,,,,,06037,,3.0000,,,,2,34136312.0000,-118175032.0000,11423.0000,,,,,,0100,261,PSR6,060374638.003004,47019,3101,275411,96293,0.0000,,,,1.0000,,,1940.0000,,,61994.0000,119906.0000,2015.0000,57912.0000,11484.4805,,,60374638003004
12643413,0.0218,"Saturday, January 02, 2016",1,,,2.0000,2.0000,false,,4.0000,2.0000,,,839.0000,839.0000,,,,,06037,,2.0000,,,,2,33755800.0000,-118309000.0000,70859.0000,,,,,,010C,266,LAR3,060372963.002002,12447,3101,54300,96222,0.0000,,,,1.0000,,,1987.0000,,,171518.0000,244880.0000,2015.0000,73362.0000,3048.7400,,,60372963002002
14432541,-0.0050,"Saturday, January 02, 2016",,,,2.5000,4.0000,true,,,2.5000,,,2283.0000,2283.0000,,,,,06059,,2.0000,2.0000,598.0000,,,33485644.0000,-117700232.0000,6000.0000,1.0000,,,,1,122,261,,060590423.381006,17686,1286,,96961,8.0000,,1.0000,,,,,1981.0000,2.0000,,169574.0000,434551.0000,2015.0000,264977.0000,5488.9600,,,60590423381006
11509835,-0.2705,"Saturday, January 02, 2016",1,,,4.0000,4.0000,true,,1.0000,4.0000,,,3067.0000,3067.0000,,,,,06037,,4.0000,,,,2,33870088.0000,-118402768.0000,2708.0000,,,,,,0100,261,HBR3YY,060376210.044006,29712,3101,,96109,0.0000,,,,1.0000,,,1982.0000,,,880650.0000,2447951.0000,2015.0000,1567301.0000,27126.5703,,,60376210044006
12286022,0.0440,"Saturday, January 02, 2016",,,,1.0000,2.0000,false,,7.0000,1.0000,,,1297.0000,1297.0000,,,,,06037,,1.0000,,,,7,33899476.0000,-118212720.0000,6677.0000,,,,,,0100,261,CORH,060375416.053007,24174,3101,,96091,0.0000,,,,1.0000,,,1939.0000,,,64549.0000,111521.0000,2015.0000,46972.0000,2304.9700,,,60375416053007
17177301,0.1638,"Saturday, January 02, 2016",,,,2.5000,3.0000,false,,,2.5000,,853.0000,1763.0000,1763.0000,,,853.0000,,06111,1.0000,2.0000,2.0000,0.0000,,,34207204.0000,-119165592.0000,,,,,,,1129,266,,061110031.002073,13150,2061,,97101,6.0000,,1.0000,,,,,1994.0000,2.0000,,107000.0000,306000.0000,2015.0000,199000.0000,3745.5000,,,61110031002073
14739064,-0.0030,"Saturday, January 02, 2016",,,,1.0000,2.0000,false,,,1.0000,,,796.0000,796.0000,,,,,06059,,1.0000,1.0000,0.0000,,,33549600.0000,-117678000.0000,,,,,,,34,266,,060590423.151019,25459,1286,,96987,0.0000,,,,,,,1984.0000,,,66834.0000,210064.0000,2015.0000,143230.0000,2172.8799,,,60590423151018
14677559,0.0843,"Sunday, January 03, 2016",,,,2.0000,2.0000,false,,,2.0000,,,1260.0000,1260.0000,,,,,06059,,2.0000,1.0000,0.0000,,,33612700.0000,-117742000.0000,,,,,,,34,266,,060590626.483005,46098,1286,,96963,5.0000,,,,,,,1977.0000,1.0000,,109977.0000,190960.0000,2015.0000,80983.0000,1940.2600,,,60590626483015
